Date,Location,AQI
2017-01-17,板橋,38.0
2017-01-17,竹東,45.0
2017-01-17,南投,77.0
2017-01-17,善化,74.0
2017-01-17,潮州,129.0
2017-01-17,中山,38.0
2017-01-17,土城,33.0
2017-01-17,苗栗,42.0
2017-01-17,竹山,98.0
2017-01-17,楠梓,100.0
2017-01-17,恆春,43.0
2017-01-17,松山,38.0
2017-01-17,新店,35.0
2017-01-17,三義,50.0
2017-01-17,崙背,56.0
2017-01-17,左營,102.0
2017-01-17,宜蘭,35.0
2017-01-17,萬華,38.0
2017-01-17,萬里,42.0
2017-01-17,西屯,55.0
2017-01-17,斗六,91.0
2017-01-17,前金,102.0
2017-01-17,冬山,26.0
2017-01-17,古亭,35.0
2017-01-17,桃園,36.0
2017-01-17,忠明,55.0
2017-01-17,嘉義,90.0
2017-01-17,小港,118.0
2017-01-17,花蓮,33.0
2017-01-17,淡水,33.0
2017-01-17,大園,36.0
